review,user,score,review_date,loc,helpful
"Your browser does not support HTML5 video.


   What is this flickering on the tablet? See video and picture. Usually happens when I connect and app to Facebook. Great tablet, I love it otherwise, but not sure what’s going on with this flickeringUPDATE#1-Amazon tech support Rachel, called me after seeing my review and tried to help me. She took control of my tablet to view the problem and did trouble shooting. Amazon is going to send me a new tablet as I am the only one with this issue. I really enjoy the new fire 10! It’s faster than the 7th gen, and worth every penny! Thanks Amazon!UPDATE 2: David R from device retrieval is terrible and does not care for Amazon customers. He sent me a label to return the defective device and stated I would get a $30 credit by returning it in 48 hours which I did. But his label was missing when I tried to print so I called Amazon and was told by Lucien B. That David made a mistake and did not send me a proper label and Lucien B from amazon sent me another. I returned the device and because David’s label was not working I will not get a credit as promised. David R would not let me speak to a manager he stated he was in the highest position at Amazon and there was no one higher than him I could speak to. Plus the replacement tablet is also flickering when you connect games to Facebook!FINAL UPDATE: Rachel from tech support has taken care of all the above and sent reassuring communication to me. She has gone above and beyond to take care of my issues and keep an Amazon customer satisfied and happy. She really cares about Amazon customers! Don’t lose this employee Amazon or it would be your loss! Thanks Rachel! Regarding the tablet, the battery lasts super long, I can go 2 days without charging it! Very responsive and I love it more than any of the other fires I own-7 inch, 8 inch, and previous version 10 inch.",Brenda A,5.0,"November 1, 2019",United States,343
"2 things.First pay the extra money so as not to be bombarded by ads every time you turn it on, switch app or it goes to sleep.Second, it says you can use an SD card for your own files.  however, its not easy and the normal apps don't work with anything that's not PURCHASED via AMAZON!In my opinion, this device has become an extension of Amazon's marketing department and no longer serves as a pleasure device for customers.This is one of those things you leaving you to wonder what happened to customer service in the retail industry",WoodstockDan,1.0,"November 19, 2019",United States,349
"update 11/5/2019 9:33pm eastern3 separate support sessions, the most recent decided I needed an RMA. it arrived today and I decided to give it a shot, to continue with the support process.  loaded everything up, set it to charge and headed out for a little while.  upon my return, everything was wiped as before.  not surprised, something's up with the software on these things.  i did try the delete app cache/etc for kindle app itself on the fire, but that did not work either.  i havent heard back from the escalated person I was working with in a few days, but they definitely have some reading material from me when they are able to get to it.  stay tuned!original review text:after multiple support requests, amazon wants to ""replace under warranty."" there's nothing physically wrong with this device, it will just delete all of your downloaded content while charging.  its pretty much garbage software, the hardware is great though.  really frustrating.",Robert,1.0,"November 3, 2019",United States,271
"Wow, with the sub-par reviews from the tablet snobs and geeks. This was 150 bucks! I bought three Fire HD8 tablets two years ago for me, my wife and daughter. Used almost daily and still like new. Replaced a Samsung 8 tablet that I was never really happy with. Love this upgrade. What a great size for watching videos, and the sound is pretty decent. A cheap pair of plug-in or bluetooth speakers will make it even better. Even better with headphones. Had a couple of friends with Apple tablets get these after they saw mine. I can shove mine in a backpack and tote it around carefree while they have to worry about damaging an expensive piece of gear. Now they are enjoying the Fire and don't miss the IPad. I can't speak for anyone doing anything other than watching videos, playing light games and surfing the internet. Oh, and reading! I love reading books and comics on this thing - even better with the bigger screen! Anyways, I digress, if you're into the things I mentioned then don't hesitate to buy this. At this price-point it is an awesome entertainment gadget, and I would never try to do spreadsheets or Power Point presentations for a million dollar deal (although it might do that?). Someone else mentioned that it doesn't do well with a Malware program. This is my third tablet and I have never had a problem with malware. Not sure why, but just throwing that out there. Never used anti-malware. I love these tablets and am really excited after putting this one through the paces!I have to add - buying the Amazon case for this is a must! Honest to God, I don't work for Amazon, but the cases that go with these are the absolute best and look and feel like they were built together. I admit the case is a little pricey but worth every penny. I bought an aftermarket case for the aforementioned Samsung tablet and hated it. It just felt ""wonky"", like a cheap glove.",bhinch,5.0,"October 31, 2019",United States,201
"All downloaded content disappears overnight.  The speed of download is fast, the display is lovely, it feels light enough for the size, and what an amazing value for the money.  But useless unless you have wi-fi since all content you download disappears immediately",Kindle Customer,1.0,"November 6, 2019",United States,222
"Fantastic product! My kids have a few fire 7's to beat around with, but wanted something a bit faster mainly for streaming and browsing.Extremely quick between apps, videos play without any issue, screen looks beautiful compared to past iterations.  Most bad reviews so far have been people trying to use incompatible accessories from past fire hd tablets that used micro USB.Fast charging time with 15w adapters and the type C port is a welcome upgrade.  Obviously if your not a fan of the amazon ecosystem or OS, then you might want to go with something that runs stock Android or iOS.  For the price and these specs, this tablet really can't be beat.",Bryan,5.0,"October 31, 2019",United States,202
"Very disappointed. First - The Silk browser which apparently is the only one I can use accepts, without question nor warning, revoked SSL/TLS certificates. Anyone who uses it is setting themselves up for some potential serious malware attacks. Second - My old Kindle Fire HD 8.9 had a mini HDMI port that allowed me to connect the device to a big screen TV which I used off grid to watch Prime content by downloading Prime shows/movies to the device then bring it with me when I went off grid. The ""All New FireHD 10 Tablet"" has no such port and hence no such capability. It doesn't support Screen Mirroring either so recasting to a larger device is a desirable feature that was deprecated. Had I known that Amazon was taking these desirable capabilities off the table I would never have purchased this new device to replace my current one.I will say that it is much faster than my old Kindle Fire and that the screen is much nicer but the eliminated features render it virtually useless to me!I tried to add an image of the GRC Certificate Revocation output by using the Silk Browser to access Revoked dot GRC dot Com and using the screen capture on the kindle device to capture the revocation notice. I was able to do that successfully and capture the screen but when I attached the Kindle to my computer to the grab the image and attach it to this review I was informed that my Kindle had ZERO directories or files on it. Another serious problem with this device discovered while trying to document 2 other game changing problems.Now, the best for last. The Kindle Fire HD 10 9th Generation cannot and will not connect to my Fire TV Recast.  The Recast is wired Ethernet connected to a gigabit router with cat6 UTP throughout the house (including connections to my many other Fire Sticks.) Everything communicates just fine except the HD10 - and that includes my Samsung Galaxy S8+. This new tablet insists I need to plug an Ethernet cable into the recast in order to make the connection. That connection is already in place and every other device on the network knows it - except for the New and Improved Kindle Fire HD10 9th generation!  Going into settings in any of my fire TV devices to Live TV/Recast shows a wired connection  with an internal IP address (192.168.1.xxx), and a wired and a wireless MAC address for the Recast Device.I tried everything under the sun to get this to work but to no avail. It just wasn't going to happen. I removed the FireTV app from the HD10,  shut everything down, removed the Ethernet cable from the Recast, started the devices up again, downloaded and installed the Recast APP on the Kindle, started the pairing process, got to the screen where it says ""Your Fire TV Recast needs an Ethernet Cable plugged into it...."".  So I plugged it back in and nothing happened. I was given no option to move ahead. All I could do was back up a screen and go into an endless loop of going nowhere!In desparation I did a factory reset on the HD10 and went through the pain of setting it up and re-authenticating with my highly entropic 63 character bullet proof passwords only to end up back in the same place... NOWHERE!Can you spell ""BUYER'S REMORSE"" and ""UTTER FRUSTRATION""? After reading this I am guessing that you probably can.This most recent discovery has prompted me to downgrade my 2 stars to 1 star.",Justin Sayne,1.0,"November 24, 2019",United States,177
Beautiful tablet. White as snow! Setup was a breeze. Pre-ordered on impulse when I found it would be releasing in this color. I love it!,Amazon Customer,5.0,"October 30, 2019",United States,162
"Amazon is really going down. I've had lots of battery trouble with all my kindkes. It's the battery that kills them. And while I was able to replace the battery on my first kindle, they made it harder, then impossible. But I got this new kindle so I would be able to restore my bookmarks. The main reason I hate the Silk browser is not being able to import or export bookmarks. I think it's deliberate. But I bought this new 10 inch just to keep my bookmarks. But while it would restore my ebooks, it wouldn't restore my bookmarks, which is a deal breaker for me.Got on the phone trying to get help and talked to someone who barely spoke Engish, who wanted to wipe my old 8.9, the kindle I loved best, instead of this 10 inch. And when I said bookmarks this guy thought I meant ebooks, which did restore. Took a while to half show him what I was talking about. No matter how long I was on, following his directions, no bookmarks.Now I have to send this back, get another kind of tablet and lose all my bookmarks. Really upset about it. But nothing I can do.",alllie,1.0,"November 2, 2019",United States,167
Have not set it up. I had bought the charging dock for this new tablet. Guess WHAT it does not CONNECT TO THE CHARGING DOCK.,Bobo,1.0,"October 30, 2019",United States,153
